,Time Step,Right AP,Right UR,Right DP,Left AP,Left UR,Left DP,Name,pres RH,press LR,Rprediction y,Rprediction x,Lprediction y,Lprediction x,Rdirection ,Ldirection 
817,1614258705.34,0.8174286568011445,0.5247122527305904,0.31913166184365394,0.7573634083436244,0.6259423640951363,-0.2406814793186328,traverse,0.8296507090070162,0.943084240811666,-4.814177997235546,9.084711142425906,-4.141428134501389,18.553023603544332,3,3
860,1614258706.2,0.8642802561866796,0.2995915020981993,0.3166049351225116,0.7519088542059363,0.626452081689443,-0.24750776419885662,traverse,0.49089714339031165,0.3732391649581544,-3.5972487538749096,7.948625339324915,-5.094581706207358,16.393147532157272,1,3
903,1614258707.06,0.9042763309070817,0.3126735466204993,0.309583124059765,0.7583771559402964,0.6190942000461711,-0.23973043602081573,traverse,1.1708887198319096,0.014744469347622344,-1.4408567897454274,16.388887695648727,-2.7717731490354183,9.699516477221437,2,1
946,1614258707.92,0.8769591845843752,0.33675328197520116,0.32192257812392844,0.7557848375429681,0.6239883973865901,-0.24127027263480372,traverse,0.185398047343679,0.3281048337088778,-2.8748978712246234,16.84208547546639,-3.8863652530406902,15.549774823835365,3,1
989,1614258708.78,0.884543835118302,0.2913997144791429,0.315479095722513,0.7500697062670455,0.6318040195530154,-0.24544769971407224,traverse,0.7444309119561936,1.0790375505021836,-1.5661048324433562,12.235875267080257,-3.9580627332718934,15.921681125953182,2,3
1032,1614258709.64,0.7070359131570625,0.693264830869344,0.17608210243282085,0.7558976473304932,0.6129531836935916,-0.2522258762922189,traverse,0.00021979382262681663,0.656576599952996,-10.882834818988341,16.36023635192827,-8.346658863520519,-3.579143539904736,0,2
1075,1614258710.5,0.6133136747310267,0.7492965619790807,0.14450078430281124,0.7641104787911481,0.6070188209054388,-0.24568977185786128,traverse,1.2350664983665947,0.6868840741388555,-8.660169831106234,14.822362615140358,-12.62730751573946,-6.1393545582197415,0,0
1118,1614258711.36,0.714928491643054,0.6271502323116838,0.15156569270876588,0.7559588642437777,0.6148273089604068,-0.24739884610131269,traverse,2.4116724908769154,0.9847159083216982,-2.5878982233063423,10.852270439249144,-9.708897384985,-6.9608487022248,2,2
1161,1614258712.22,0.8099510909838669,0.5506403203934614,0.14614130405527537,0.759788298129932,0.6123783303870621,-0.25061726533523393,traverse,0.9732968410674718,1.2735880653058504,-15.350568529855074,-3.631253983768069,-15.300530831906087,2.5121354339114568,1,0
1204,1614258713.08,0.8310418863567685,0.5409012658644277,0.13448981351443853,0.7564567465920123,0.6108880378938841,-0.25249052489805246,traverse,0.06777626961838801,2.4042667054073696,-7.806011852319681,11.138928460721697,-5.453822282976827,9.615532869187822,1,1
1247,1614258713.94,0.8202555264533378,0.49749760663648246,0.09399495906257892,0.5974788110501055,0.6410991821921733,-0.2280080981546811,traverse,1.6351723537995975,0.05737123223310527,-7.3335162994638745,16.15347462482741,-9.115472515653535,17.02398160604065,3,3
1290,1614258714.8,0.8232583155285615,0.09840093703429664,-0.2107590227609771,0.15390453293058454,0.4269869190613178,-0.906459553980006,traverse,0.6116359758423373,0.05737123223310527,-7.313503014634455,13.989113043988652,-12.623351858368327,-4.188279710798366,0,2
1333,1614258715.66,1.0412088366078436,0.5640428128541065,0.01604627594520998,-0.2576532112883385,0.3450463989982875,-1.096248548134935,traverse,0.8978647712544284,3.323441769597584,-4.8647301545955886,13.718272632178556,-18.391136590313728,-5.218231205090545,3,0
1376,1614258716.52,0.8495930757864992,0.5321423707319511,0.04870175324581231,0.5220648833448865,0.2455062512196224,-0.8194899291819878,traverse,0.08659968383543355,0.29197399152912845,-8.199270275183531,11.386153323815613,-18.975094586215306,-0.9366856921950539,1,1
1419,1614258717.38,0.8251374824966161,0.518729668722671,0.04962180325875757,0.519906135402799,0.23668748453223243,-0.8193742849246507,traverse,1.2127604082745376,0.2724583672207296,-8.580596444092668,12.500716901011454,-10.141923198730694,13.888164466867753,3,3
1462,1614258718.24,0.927318462556085,0.5302598481341757,0.11584890221586243,0.4581440001551639,0.37875495179972124,-0.9101651106473467,traverse,1.3278210136511148,5.004100693295436,-8.96240598890769,8.737804728187708,-15.14740191329819,-5.504699812798254,3,1
1505,1614258719.1,0.8417969566670079,0.43852008714279916,0.05203267188350915,0.4829908271665478,0.2856733467657154,-0.8300128258473688,traverse,0.16817830604528194,0.6419024059232677,-10.090759269635555,-0.9724287551715749,-11.230440991236836,11.836460380888855,1,3
1548,1614258719.96,0.837904573196432,0.4840231986673212,0.046267548658100184,0.47222441999072273,0.2971726742728681,-0.829305187616972,traverse,0.05276009535926257,2.0136365215863408,-9.710099972966779,11.514934158252418,-11.01975493992181,-6.518714068295962,3,1
1591,1614258720.82,0.8484140533640264,0.4889733911116998,0.03781913394630264,0.46835542909626826,0.2988146136502727,-0.8321078784823629,traverse,0.2798404254024915,0.9968689944967651,-10.455551295485169,6.316623161856337,-10.536791599282546,-1.9942705827597766,1,3
1634,1614258721.68,0.8800182875931393,0.4582627937328632,0.02823527291311086,0.46983143332956767,0.29632061814823657,-0.8337983486399339,traverse,0.5231489133848678,0.6103695798645238,-9.180791809136817,7.83428950252147,-11.544815587399913,-19.138364957009355,2,1
1677,1614258722.54,0.8490329056284742,0.47753257512496894,0.04577501501283842,0.4657364774800084,0.3027061472415618,-0.8321763497358899,traverse,0.12827268760295454,0.31133667261222026,-10.51919039712298,6.942190298374343,-10.124275294321581,-13.761590180770124,1,3
1720,1614258723.4,0.8558689860642743,0.46959899597620697,0.021598425628667095,0.4579811132110417,0.30828284158367164,-0.838301672263833,traverse,0.7854728289348138,0.6786752391401567,-9.610185586274541,8.85481425697822,-11.86849365436198,-18.646686620071396,3,1
1763,1614258724.26,0.8605109033530015,0.49833341645921886,0.015208800101255474,0.46039728354086984,0.30758488549494145,-0.8345193517230346,traverse,0.27753762674739535,0.2696832521181543,-11.550466250626148,3.430592316580275,-9.117837791065444,-13.359637590505557,3,3
1806,1614258725.12,0.7993617410565705,0.5291358373458843,0.18154469532854495,0.45804588100740357,0.30459982457503354,-0.8383563107413194,traverse,1.9677540699951614,0.9449255503780274,-11.988571777295913,1.1003026587144245,-7.84597580186257,-16.894075860596974,0,1
1849,1614258725.98,0.8606895806870082,0.43088420037244174,0.2513486749156172,0.4579399952672915,0.3071884173527887,-0.833119047219257,traverse,0.48329271311371774,0.058777996141743595,-5.849412972415326,-5.856572988274991,-12.349178192348752,-4.66132054408723,1,0
1892,1614258726.84,0.8551989410989701,0.43743533386332434,0.2386160404077765,0.45310147639349624,0.3130482880490362,-0.8364952113027906,traverse,1.462428945037027,1.340330940707877,-10.183814423399866,8.661783966944878,1.3046106160834041,-3.0483930249106326,0,2
1935,1614258727.7,0.8443682116780816,0.48014915642278494,0.2616362212466324,0.4579078601583771,0.3062565256938062,-0.8364504680397921,traverse,0.5674174570623384,0.0143620831906989,-2.542695095415165,20.213817155616,-2.2013107990969303,-4.478996792686987,3,1
1978,1614258728.56,0.8744341946165967,0.46140232826399463,0.22777131196453476,0.45390336441097257,0.31097238248506326,-0.8341696129725081,traverse,0.27240920601728613,0.0743057290736151,-2.6822344461147978,14.638091627174228,-5.750865173877077,16.06495520472062,2,3
2021,1614258729.42,0.9283966163770361,0.13058323635752322,0.2032965184629112,0.4507893844780597,0.3162561558238298,-0.836496450309315,traverse,1.1429901960220288,0.9666398380370883,-3.6519817151219955,13.90615272489785,-4.6198128810185315,-14.77811288407473,2,2
2064,1614258730.28,0.9436399826436328,0.25174726215492377,0.1889384934146377,0.454802885855758,0.3144680670959721,-0.8360587934438083,traverse,0.3646576137926562,0.6068125809457264,-6.411209941774157,9.73620113304559,-7.296227607972655,-17.718853274538766,3,2
2107,1614258731.14,0.9399810059915077,0.2764408327725657,0.1973074479191427,0.4526560015422866,0.31248235889885634,-0.8346484309371057,traverse,1.3135281621041748,1.0163780933562832,-5.980517324242531,6.666128190450922,-9.636558727309277,-18.023446536735516,0,1
2150,1614258732.0,0.9920579142580271,0.31080389398555697,0.17782802109316911,0.45272443119507566,0.31385342326909327,-0.8350630978713096,traverse,0.9302743228227045,0.056853743124824635,-4.007182745452415,5.778961486712107,-8.303191192101128,-13.85433975295863,3,0
2193,1614258732.86,0.9236330274784195,0.28320082808332364,0.19163275267346605,0.44902234592398677,0.31777315894443664,-0.8392520003607341,traverse,2.2177970957103414,1.34070103557719,-2.96083552933384,-9.68836586078067,-5.055099380716937,-17.420204362502815,2,1
2236,1614258733.72,0.8883315746540822,0.360357734542945,0.14121555361016927,0.40756492192394855,0.31086404357630476,-0.8615129272016084,traverse,0.6755882754576479,0.6171657167607076,-4.731765132414595,-9.233126259300766,-10.04934233557757,-7.993895185419293,1,3
2279,1614258734.58,0.5244289347254255,0.7744701914317529,0.40992110538117443,0.39754260412073494,0.2595457121816022,-0.8791579815697443,traverse,0.49311990371663966,1.5282382246814257,-10.561863118380604,13.673211624498451,-11.48778907770172,-15.383928669221806,1,2
2322,1614258735.44,0.7865265881996891,0.27351804762978005,0.642916591484737,0.3388156792520076,0.11611923015691342,-0.9316760407737972,traverse,0.48288831539184773,1.044641005589389,-9.003427687598773,15.83393380922626,-11.945389841591503,-15.40434299269663,3,2
2365,1614258736.3,0.6647604652891764,0.19095617801575052,0.7048889898839197,0.3582163716644619,0.13384394969352525,-0.9243111120834867,traverse,0.8782123097474678,1.0360983314558665,-9.533098623894622,13.813739103851479,-14.608664871245402,-14.271115130088578,3,3
2408,1614258737.16,0.7037111072955925,0.1468383575502911,0.7132240768321964,0.37251824493309693,0.13232619131593934,-0.9133475335571418,traverse,0.3358572536039985,0.8683173267710664,-9.22176981344209,10.704559826076625,-13.908754755697714,-17.270341306352528,2,2
2451,1614258738.02,0.6228791404202382,0.18757292329446537,0.7451068306463533,0.3968100403877906,0.13048876567284304,-0.9038108966599668,traverse,0.20076302824122896,0.985149677497049,-11.818836192592801,12.798779257452535,-13.94688170920329,-17.561726492365338,0,0
2494,1614258738.88,0.742584141034053,0.33549701054176756,0.6257650536117699,0.3906305135178361,0.13910869700073805,-0.9082308420056764,traverse,0.10418880554684493,0.76679012931725,-7.725763675918849,6.758695667506381,-2.063020064849705,-8.079335149851243,3,0
2537,1614258739.74,0.4824806990617831,0.7447082746371547,0.5189572333634573,0.3741155301618487,0.16551623507142255,-0.9116740031230182,traverse,0.5573641459671521,0.08615719833400814,-6.1407620126269515,-4.317883112004846,1.5576367712930468,-8.648490071874772,2,2
2580,1614258740.6,0.7299069364274945,0.389245725078403,0.5309415134143666,0.38831401169132684,0.15375564851602555,-0.9048448812365069,traverse,0.32287608555550007,0.20831471598249088,-5.480874155273142,-6.967377904115166,-7.208593552610634,-8.13063130240564,1,2
2623,1614258741.46,0.508688151310632,0.7378722699136099,0.23571947882347716,0.37962460160340195,0.16559546026356026,-0.9065767589535743,traverse,0.539724653488937,0.030862987991437548,-13.115172054580817,8.313793073850103,-9.255490787822687,-6.319317698488135,1,3
2666,1614258742.32,0.6424319455511276,0.6695484056171144,0.16342489166848717,0.38009007342329937,0.1725145325040591,-0.9077711940074134,traverse,1.2615164960116527,0.31014422349910375,-13.507249619999698,14.187384226338159,-8.901191668065866,-17.622019887252343,3,1
2709,1614258743.18,0.6701452150830508,0.7008818838900263,0.166670672946314,0.3796689123003026,0.16680767181157496,-0.9062753528361519,traverse,0.1268443654024724,0.7538627029942109,-14.463590241401448,9.131665618989388,-7.117550122454213,-12.839860701660115,2,2
2752,1614258744.04,0.6864612964092927,0.6708431139734318,0.1770468622109831,0.3818771646012452,0.1704153569139683,-0.9049462347887195,traverse,0.40585064011026784,0.349239297635239,-15.100365254034447,9.884111772255714,-8.780286562301715,-15.007398334980586,0,3
2795,1614258744.9,0.650614571186121,0.6708053644120661,0.21840370793679315,0.38027599199883894,0.1791027246526569,-0.9086519540169586,traverse,0.18405426864850905,0.0023656516520006534,-14.433955935860435,9.869627744424893,-9.7746633090624,-18.376738305242174,3,3
2838,1614258745.76,0.62166559102712,0.7048055336634099,0.22630068638237655,0.3798896006757076,0.18450653517076862,-0.9053740791971723,traverse,0.30067814828196937,0.0015834803413857452,-15.16636290328843,7.6258624715508905,-10.387638138582403,-20.912860558047097,0,1
2881,1614258746.62,0.6721339098739435,0.6645639434960322,0.20866499110313605,0.3616780603152896,0.19595371317712879,-0.9092730096262164,traverse,0.7533454771094715,0.035102324232798056,-11.801943697950854,9.78070846227132,-10.41742543991945,-20.741960928274956,3,0
2924,1614258747.48,0.7332516478473696,0.6230807289233413,0.20014106709770393,0.3164547414502271,0.26724769022485584,-0.9120380036688722,traverse,0.14291400977652235,1.0307031754613987,-12.31914606483626,7.5221065857981975,-9.78634005689066,-20.12231392224217,0,1
2967,1614258748.34,0.7494160768998093,0.6138684183776475,0.1940914627848509,0.30921902631887443,0.2662958555976418,-0.9140191146348416,traverse,0.03441793985081059,0.43865759441755864,-7.847492422983175,2.4569848050673073,-8.748866180054296,-16.717278060518648,2,1
3010,1614258749.2,0.7238142482803467,0.5995229233471281,0.1452093671131819,0.30962574495009976,0.2616090534963904,-0.9163764798181173,traverse,0.3163391951249215,0.23570431283468235,-9.72724750508682,0.4187608729221637,-11.025875332465244,-2.1645474796279665,1,1
3053,1614258750.06,0.7390738626625585,0.6303205541435691,0.15440802294338374,0.3077502690182541,0.2681641711074454,-0.9145779688416528,traverse,0.10732845050063486,0.4821393466516764,-7.16343613149613,15.817241400468458,-12.51401629208058,1.202955995577132,0,3
3096,1614258750.92,0.8756445704667818,0.48586786491490697,0.26146129036471444,0.30552332398552995,0.27005981388318523,-0.9151170618488269,traverse,0.4727912568952882,0.3642815462573848,-4.8681486272770655,15.07954179988029,-14.828368591180759,-6.407690330006567,3,3
3139,1614258751.78,0.9348555514584764,0.3035115664606705,0.20078215543498265,0.3149547517641277,0.2559589035910132,-0.9152609198315053,traverse,1.1996097418750629,0.253519753035643,-3.6044543975712804,13.495329427864363,-15.194144940916065,-9.445881544395732,2,3
3182,1614258752.64,0.9234407588591405,0.2347500219453419,0.23571966405534725,0.30693278554056863,0.26758715042221937,-0.9132166936575489,traverse,0.021357530526850056,0.041260700160732265,-5.427707372517581,11.021048292608913,-16.100931554147532,-11.155274148720615,2,2
3225,1614258753.5,0.9516305051321776,0.250998364459722,0.2100012555967148,0.3049721564399511,0.2764739925375943,-0.9129718100748495,traverse,1.7816512960582525,0.09610149220185545,-7.570229714504212,8.462440710393794,-19.54445912979554,-14.708326166466492,2,0
3268,1614258754.36,0.9481639743120075,0.25458189141818116,0.21063282424120175,0.3475841703343661,0.31129709716882886,-0.8874438816764313,traverse,1.256556889910532,0.641816062746196,-7.986762478188109,7.9971342093862985,-12.258134345598375,-15.37288034700536,2,0
3311,1614258755.22,0.933326245781526,0.28438211350413933,0.19246952035833156,0.3619759648336056,0.2981187596261636,-0.8864359511988762,traverse,0.49899072193805677,0.09584490234447701,-8.949130557245747,8.280243469358167,-1.7506223579656437,-9.289521534000475,2,3
3354,1614258756.08,0.8552469805005561,0.38812534888421596,0.24571355999350286,0.39300350664778233,0.3085378363900622,-0.8686091750336352,traverse,0.5477323562310097,0.19003026777941925,-10.920699444147893,7.392344914576495,-0.4105051156033488,-11.888854751694339,3,2
3397,1614258756.94,0.8031348980565717,0.4014656179378976,0.39503338236924457,0.3981349756669871,0.30158771974620086,-0.8678267806440642,traverse,0.35745771779844315,0.7448986748353937,-10.017615931747622,1.609440162968511,-0.7227430494017648,-12.878264231697923,3,2
3440,1614258757.8,0.8525051479479536,0.41056338294376216,0.3180795074206406,0.40415745122095886,0.2874927217710699,-0.8691779164895003,traverse,1.2741425093685275,0.15516833085942094,-8.830484714739114,-6.969140654692897,-12.522364271961216,-3.89377689351463,3,0
3483,1614258758.66,0.8519983094089256,0.4308428111524227,0.31286920015340336,0.3957108089350037,0.294051160719519,-0.8717948421483133,traverse,1.5502881190295874,0.6606291814438792,-7.17791683772691,-10.599685885612892,-9.504989242183548,-3.8902809486020473,1,3
3526,1614258759.52,0.81288441516049,0.29693510600031614,0.2652054947721324,0.3932653479988733,0.2949615289175784,-0.8724932629130872,traverse,1.8730709161658432,1.6199257321783715,-10.12171697719586,3.4284026556711584,-13.556801992217132,-18.283261452395415,1,1
3569,1614258760.38,0.9206737813611947,0.3291085481366905,0.17754929778410122,0.3940168467025693,0.2935485401304369,-0.873911801428236,traverse,0.36180133589114044,0.2672525252597579,-6.73668368339324,16.527451183472373,-5.825673978129235,-4.883240789712657,3,3
3612,1614258761.24,0.9035111523478377,0.334547437895862,0.15852675089709675,0.3952896003324678,0.2867556487376026,-0.8728861797397187,traverse,1.448457593181808,0.2267421478474993,-8.13043896278832,11.082985394637873,-4.2778200925615755,-8.802929183507134,1,3
3655,1614258762.1,0.9546518752528091,0.3077840678462152,0.17467038400904675,0.39494945284932004,0.2962185922372276,-0.8730590636222046,traverse,0.932047108041732,0.9781327177477033,-6.5915626887172225,14.193937264822342,-7.44269855262876,-13.981349004453438,3,1
3698,1614258762.96,0.9120013050503138,0.32503889671642267,0.17732133038925496,0.3964940108795444,0.2948267183668241,-0.8713728514555449,traverse,0.21181375238513922,0.2597706329606447,-7.1760192419467375,12.73207127614599,-9.884922011830696,-5.565777263539193,0,3
3741,1614258763.82,0.9180394217237691,0.322038159201222,0.20466209589376747,0.3983472619371558,0.29339660219975805,-0.8721316192468113,traverse,0.24278658551892082,0.4224877527862259,-6.725128244568583,12.170469896092293,-7.752953998800436,-12.181570734870846,3,0
3784,1614258764.68,0.9187025127431585,0.29897127522555844,0.1852182671614175,0.3984421843742523,0.2900467379427833,-0.8706611822334257,traverse,0.03494617066303496,0.6323002908688248,-6.98541031501482,4.133626064289729,-6.833455190805887,-12.226409668649204,1,3
3827,1614258765.54,0.9471603588460394,0.25817699617059175,0.17655405601435092,0.39699831717230016,0.29267069650946564,-0.8696570988397979,traverse,1.2550498604942775,0.23419379266604182,-8.911157583737282,8.2847345403781,-5.4095130117346715,-14.970139631242898,3,0
3870,1614258766.4,0.9340276495097356,0.2962625961756202,0.2037760941038213,0.3977952181167798,0.2960666654979848,-0.8701456669107068,traverse,0.08787470481482654,0.4205786179992129,-8.470130741287281,6.081640309788612,11.633838233333314,1.3170504049563565,1,3
3913,1614258767.26,0.90644105488673,0.35141689927557834,0.2150012669658835,0.4023662658923385,0.28858302560502946,-0.8687198015679499,traverse,1.0391190649928395,0.7248952253751201,-12.723948207373002,13.550178933258238,12.988982586215538,-5.7353895639321575,3,2
3956,1614258768.12,0.8965906072695744,0.3487143263039076,0.19735226720429547,0.40201815904295873,0.30342852982701274,-0.8651340628422127,traverse,0.8013700478284224,1.257946130685795,-11.858666059201873,9.170732156802087,-5.5174940277685405,-9.535442834750786,1,1
3999,1614258768.98,0.9077475836323091,0.3385458739507643,0.2223288709770426,0.40434239038585934,0.30067482775485505,-0.8648179679545174,traverse,0.4310205716298225,0.1718632713763108,-12.196047151255215,12.568679913262036,-16.88463885724056,16.085559520919695,2,0
4042,1614258769.84,0.9060870635964715,0.35871236594541095,0.27141428835864156,0.4067671195170984,0.3135685051176274,-0.8588800525087665,traverse,2.589131901999517,0.2846259389896121,-13.579841231203513,12.058064291904838,-16.35418617332283,16.312662195767537,0,3
4085,1614258770.7,0.9299741811961678,0.309386705488831,0.1831174585265829,0.4180954647096834,0.2912720325231657,-0.8614852864958189,traverse,1.8484671119509,1.5584526293627956,-12.523469118076747,12.45784251274328,-9.955171329246454,-10.97217769879969,0,1
4128,1614258771.56,0.8998391331776375,0.2864308137756053,0.1982118323508233,0.4110729107526071,0.2980721287653877,-0.8628179611670014,traverse,0.7365265670611976,0.3009717472042805,-11.471167012901056,13.894166738025689,-10.015661334062118,-9.60084849809845,0,1
4171,1614258772.42,0.9475990432386004,0.2722627273705179,0.19479596868992327,0.40870380498417846,0.3030924816121538,-0.86273564278058,traverse,0.08679267464709052,0.04269537625930919,-10.041661807867275,13.922295935934823,-16.07219493720766,16.744004477307904,0,0
4214,1614258773.28,0.8968422938520982,0.3715758709926538,0.20756241133265965,0.4110508067782953,0.30029001496811625,-0.8634998959171681,traverse,0.7360024450456744,1.8049962417418228,-5.846515631957793,6.759103948084172,-15.033003601382731,15.924049069308658,2,0
4257,1614258774.14,0.9230809638298394,0.39308913425319547,0.2089615661386506,0.4131275951419383,0.29578313452473276,-0.8602811071241662,traverse,1.3479870959643039,0.2971811814638165,-8.078545844877699,4.907839880017143,-11.96137822980802,13.41830714865176,3,3
4300,1614258775.0,0.9488415992309256,0.27445075976298206,0.17914968300070272,0.4116325513531278,0.2996580458047488,-0.8656703221476028,traverse,1.113236807415379,0.641507183307049,-7.8382022504567015,2.849738068398565,-11.415225815745057,10.483887881731686,2,3
4343,1614258775.86,1.072485753316688,0.4514919713941873,-0.06906308939354806,0.4431039890708695,0.29129585077573816,-0.9628591890620168,traverse,1.0883885444063437,0.11830531680834737,-12.356831399683292,6.788895453676453,-12.92264258042849,1.053799494128639,3,3
4386,1614258776.72,0.9833517744594693,-0.4639002001943649,-0.13802678938951163,0.13059541134075187,0.28714504341571145,-0.9643362334943671,traverse,0.4381780593763203,0.10872840082895134,-11.183573030924673,6.250916990365627,-9.845412043984524,-9.045165308872644,1,2
4429,1614258777.58,0.43298393700559734,0.2256850740828593,0.3627302462030461,0.6539045114049586,0.1994605974601145,0.03139807416186575,traverse,0.540909404315984,0.7383181643107746,-16.577047619943794,12.05940264493763,-14.455485783048871,-9.377270239098639,3,3
4472,1614258778.44,-0.3539816630819248,-0.7610140246190429,0.7986435737281486,0.09951294068315399,-0.739950067959013,0.2968260176767485,traverse,0.39599089610697397,1.497705272808705,-19.88373188939983,18.823606212462025,-10.537751224543001,-13.786629172358147,3,1
4515,1614258779.3,-0.03986580224675005,-0.05304626173687439,1.0949929950378696,0.30444259174866006,-1.0700575434210635,0.29050493496814495,traverse,0.763830727066646,0.46213004560773935,-19.283026550751174,15.22142939010364,-11.88016176439745,-2.4498244005259906,0,1
4558,1614258780.16,1.4434372173154437,0.15198108074252256,-0.03894694108125333,0.5536115889771162,0.5764453616357458,-0.11360261746319726,traverse,0.13030820130735216,0.5699142712774513,-8.932472560049384,1.792687910049123,-12.35181866162555,6.650891878952896,3,2
4601,1614258781.02,0.0467495981766711,0.8196783371158411,-0.6614108160664983,0.13927799684311243,0.21578809516619032,0.06362181617640372,traverse,0.3016535848080091,0.8505053602426006,-21.31041148190161,6.700131518370233,-18.031571548054853,0.7439722840564285,1,0
4644,1614258781.88,0.0837126223493981,0.5005073491173736,-0.7669290544292238,0.21438279314767558,0.3319303300908344,-1.175514701579385,traverse,0.17791273213177164,1.0731565960836262,-13.185848571231858,22.649882372378915,-17.285105142994787,1.7366866089732333,1,0
4687,1614258782.74,0.705250532690061,0.4505831330414686,-0.6465090905898772,0.2511015953941201,0.3191404726892749,-1.0891151785834563,traverse,0.9089406823984826,0.7518614854962636,-8.01121349378077,19.357337792624435,-14.758016093816483,-5.095743558855116,3,2
